seil,dist,nb_saud,%saud_/total,nb_saud_hcc,saud_hcc/saud
0.5,6.0,287782,10.44,5589,1.94
0.53,5.98,280781,10.19,5580,1.99
0.56,5.96,270179,9.81,5572,2.06
0.59,5.96,265248,9.63,5568,2.1
0.62,5.95,261844,9.5,5557,2.12
0.65,5.89,258631,9.39,5524,2.14
0.68,5.85,257068,9.33,5483,2.13
0.71,5.57,252302,9.16,5345,2.12
0.74,5.31,237936,8.64,5194,2.18
0.77,4.97,147713,5.36,4991,3.38
0.8,4.15,78906,2.86,4560,5.78
0.803,4.04,73559,2.67,4501,6.12
0.806,3.87,71786,2.61,4422,6.16
0.81,3.71,69050,2.51,4330,6.27
0.813,3.64,66702,2.42,4291,6.43
0.816,3.55,66566,2.42,4248,6.38
0.819,3.47,58791,2.13,4196,7.14
0.822,3.36,50978,1.85,4141,8.12
0.826,3.24,43270,1.57,4075,9.42
0.829,3.12,31479,1.14,4001,12.71
0.832,3.04,31343,1.14,3955,12.62
0.835,2.89,31047,1.13,3867,12.46
0.838,2.75,30769,1.12,3790,12.32
0.842,2.5,20641,0.75,3675,17.8
0.845,2.31,20375,0.74,3576,17.55
0.848,2.15,20092,0.73,3495,17.39
0.851,2.04,19929,0.72,3420,17.16
0.854,1.97,19616,0.71,3373,17.2
0.858,1.88,19112,0.69,3296,17.25
0.861,1.82,18827,0.68,3245,17.24
0.864,1.81,18655,0.68,3216,17.24
0.867,1.77,18329,0.67,3158,17.23
0.87,1.75,17944,0.65,3109,17.33
0.874,1.66,17286,0.63,3019,17.47
0.877,1.62,16801,0.61,2968,17.67
0.88,1.57,16357,0.59,2911,17.8
0.883,1.53,16142,0.59,2859,17.71
0.886,1.47,15793,0.57,2789,17.66
0.89,1.44,15324,0.56,2732,17.83
0.893,1.37,15000,0.54,2655,17.7
0.896,1.3,14721,0.53,2572,17.47
0.899,1.25,14363,0.52,2474,17.22
0.902,1.24,14146,0.51,2419,17.1
0.906,1.25,13906,0.5,2304,16.57
0.909,1.26,13579,0.49,2199,16.19
0.912,1.24,13119,0.48,2115,16.12
0.915,1.2,12868,0.47,2015,15.66
0.918,1.23,12541,0.46,1900,15.15
0.922,1.36,12011,0.44,1724,14.35
0.925,1.44,11637,0.42,1592,13.68
0.928,1.56,11374,0.41,1493,13.13
0.931,1.66,11222,0.41,1390,12.39
0.934,1.69,10728,0.39,1289,12.02
0.938,1.73,9812,0.36,1111,11.32
0.941,1.85,8193,0.3,936,11.42
0.944,2.12,7825,0.28,804,10.27
0.947,2.44,6922,0.25,655,9.46
0.95,2.81,6096,0.22,553,9.07
0.954,4.32,4277,0.16,383,8.95
0.957,4.44,2892,0.1,335,11.58
0.96,5.07,1824,0.07,291,15.95
0.964,4.89,1084,0.04,215,19.83
0.969,4.22,447,0.02,144,32.21
0.973,4.48,290,0.01,92,31.72
0.978,6.25,92,0.0,61,66.3
0.982,6.72,60,0.0,45,75.0
0.987,6.09,32,0.0,19,59.38
0.991,4.1,22,0.0,9,40.91
0.996,2.64,14,0.0,2,14.29
