seil,dist,nb_saud,%saud_/total,nb_saud_hcc,saud_hcc/saud
0.5,4.72,294484,10.69,7151,2.43
0.53,4.68,289989,10.52,7135,2.46
0.56,4.66,277660,10.08,7127,2.57
0.59,4.66,272231,9.88,7121,2.62
0.62,4.66,269153,9.77,7114,2.64
0.65,4.61,265138,9.62,7080,2.67
0.68,4.54,262800,9.54,7034,2.68
0.71,4.34,255234,9.26,6926,2.71
0.74,4.06,237087,8.6,6755,2.85
0.77,3.64,191019,6.93,6495,3.4
0.8,2.92,87163,3.16,6053,6.94
0.803,2.87,85607,3.11,6019,7.03
0.806,2.77,83967,3.05,5958,7.1
0.81,2.71,78916,2.86,5918,7.5
0.813,2.68,75496,2.74,5894,7.81
0.816,2.61,72623,2.64,5851,8.06
0.819,2.52,72445,2.63,5792,8.0
0.822,2.48,64767,2.35,5758,8.89
0.826,2.35,59596,2.16,5670,9.51
0.829,2.31,59412,2.16,5635,9.48
0.832,2.23,56450,2.05,5580,9.88
0.835,2.17,41666,1.51,5527,13.27
0.838,2.05,37383,1.36,5442,14.56
0.842,1.93,36512,1.33,5344,14.64
0.845,1.79,36258,1.32,5245,14.47
0.848,1.69,35898,1.3,5163,14.38
0.851,1.53,35358,1.28,5052,14.29
0.854,1.46,30719,1.11,4994,16.26
0.858,1.35,25131,0.91,4903,19.51
0.861,1.29,24847,0.9,4842,19.49
0.864,1.25,24564,0.89,4792,19.51
0.867,1.2,24212,0.88,4737,19.56
0.87,1.16,23986,0.87,4687,19.54
0.874,1.11,23476,0.85,4622,19.69
0.877,1.07,23134,0.84,4550,19.67
0.88,1.03,22819,0.83,4490,19.68
0.883,1.0,22126,0.8,4423,19.99
0.886,0.97,21749,0.79,4376,20.12
0.89,0.94,21075,0.76,4275,20.28
0.893,0.88,20700,0.75,4198,20.28
0.896,0.83,20390,0.74,4117,20.19
0.899,0.78,19947,0.72,4025,20.18
0.902,0.74,19677,0.71,3928,19.96
0.906,0.68,19297,0.7,3812,19.75
0.909,0.66,19067,0.69,3715,19.48
0.912,0.65,18755,0.68,3623,19.32
0.915,0.62,18376,0.67,3496,19.02
0.918,0.61,18061,0.66,3387,18.75
0.922,0.6,17708,0.64,3212,18.14
0.925,0.61,17391,0.63,3049,17.53
0.928,0.64,16888,0.61,2842,16.83
0.931,0.68,16467,0.6,2633,15.99
0.934,0.69,16007,0.58,2433,15.2
0.938,0.75,15290,0.55,2148,14.05
0.941,0.7,14253,0.52,2022,14.19
0.944,0.69,11508,0.42,1846,16.04
0.947,0.44,8008,0.29,1686,21.05
0.95,0.34,5907,0.21,1547,26.19
0.954,0.67,4120,0.15,1366,33.16
0.957,0.99,3289,0.12,1253,38.1
0.96,1.44,3136,0.11,1166,37.18
0.964,1.73,2985,0.11,1054,35.31
0.969,2.51,2648,0.1,842,31.8
0.973,2.73,2396,0.09,712,29.72
0.978,2.61,1858,0.07,574,30.89
0.982,3.96,1003,0.04,310,30.91
0.987,3.45,323,0.01,124,38.39
0.991,3.48,76,0.0,59,77.63
