model,best_seil,nb_aud,nb_non_aud,nb_saud,%saud ,%saud/aud,%saud/non_aud,nb_saud_hcc,prev_hcc,dist
0,0.96,197945,2557347,5117,0.186,2.585,0.2,1174,22.943,0.33
1,0.982,197945,2557347,4942,0.179,2.497,0.193,1154,23.351,0.28
2,0.978,197945,2557347,5668,0.206,2.863,0.222,1215,21.436,0.36
3,0.982,197945,2557347,4933,0.179,2.492,0.193,1168,23.677,0.24
4,0.987,197945,2557347,4752,0.172,2.401,0.186,1140,23.99,0.17
5,0.987,197945,2557347,4740,0.172,2.395,0.185,1185,25.0,0.18
6,0.978,197945,2557347,5975,0.217,3.019,0.234,1302,21.791,0.35
7,0.982,197945,2557347,5080,0.184,2.566,0.199,1230,24.213,0.3
8,0.987,197945,2557347,4594,0.167,2.321,0.18,1146,24.946,0.21
9,0.969,197945,2557347,8316,0.302,4.201,0.325,1498,18.013,0.23
