model,best_seil,nb_aud,nb_non_aud,nb_saud,%saud ,%saud/aud,%saud/non_aud,nb_saud_hcc,prev_hcc,dist
0,0.96,197945,2557347,5117,0.186,2.585,0.2,1174,22.943,0.33
1,0.982,197945,2557347,4749,0.172,2.399,0.186,1090,22.952,0.24
2,0.978,197945,2557347,4711,0.171,2.38,0.184,1060,22.501,0.17
3,0.982,197945,2557347,4162,0.151,2.103,0.163,1027,24.676,0.17
4,0.987,197945,2557347,3869,0.14,1.955,0.151,1006,26.002,0.14
5,0.987,197945,2557347,3863,0.14,1.952,0.151,1000,25.887,0.21
6,0.978,197945,2557347,3863,0.14,1.952,0.151,1000,25.887,0.21
7,0.982,197945,2557347,3857,0.14,1.949,0.151,995,25.797,0.22
8,0.987,197945,2557347,3646,0.132,1.842,0.143,977,26.796,0.29
9,0.969,197945,2557347,3646,0.132,1.842,0.143,977,26.796,0.29
