model,best_seil,nb_aud,nb_non_aud,nb_saud,%saud ,%saud/aud,%saud/non_aud,nb_saud_hcc,prev_hcc,dist
0,0.96,197945,2557347,5117,0.186,2.585,0.2,1174,22.943,0.33
1,0.982,197945,2557347,5310,0.193,2.683,0.208,1238,23.315,0.4
2,0.978,197945,2557347,5850,0.212,2.955,0.229,1291,22.068,0.4
3,0.982,197945,2557347,5918,0.215,2.99,0.231,1311,22.153,0.39
4,0.987,197945,2557347,5990,0.217,3.026,0.234,1316,21.97,0.37
5,0.987,197945,2557347,6001,0.218,3.032,0.235,1327,22.113,0.37
6,0.978,197945,2557347,6122,0.222,3.093,0.239,1363,22.264,0.32
7,0.982,197945,2557347,6160,0.224,3.112,0.241,1372,22.273,0.31
8,0.987,197945,2557347,6172,0.224,3.118,0.241,1381,22.375,0.32
9,0.969,197945,2557347,8358,0.303,4.222,0.327,1523,18.222,0.29
