seil,dist,nb_saud,%saud_/total,nb_saud_hcc,saud_hcc/saud
0.5,4.63,463670,16.83,6986,1.51
0.53,4.57,318169,11.55,6921,2.18
0.56,4.55,306836,11.14,6852,2.23
0.59,4.47,278407,10.1,6776,2.43
0.62,4.37,255801,9.28,6659,2.6
0.65,4.3,237047,8.6,6547,2.76
0.68,4.23,224035,8.13,6452,2.88
0.71,4.1,215068,7.81,6308,2.93
0.74,3.87,201409,7.31,6073,3.02
0.77,3.63,178211,6.47,5824,3.27
0.8,3.16,106097,3.85,5446,5.13
0.803,3.12,97285,3.53,5420,5.57
0.806,3.05,94605,3.43,5376,5.68
0.81,2.98,82372,2.99,5313,6.45
0.813,2.92,78790,2.86,5278,6.7
0.816,2.88,75221,2.73,5245,6.97
0.819,2.73,71896,2.61,5164,7.18
0.822,2.65,69075,2.51,5117,7.41
0.826,2.62,62018,2.25,5067,8.17
0.829,2.58,51838,1.88,5039,9.72
0.832,2.49,51644,1.87,4990,9.66
0.835,2.4,51454,1.87,4913,9.55
0.838,2.38,50585,1.84,4883,9.65
0.842,2.29,50458,1.83,4805,9.52
0.845,2.2,46622,1.69,4739,10.16
0.848,2.14,46499,1.69,4698,10.1
0.851,2.06,36165,1.31,4642,12.84
0.854,2.02,33014,1.2,4607,13.95
0.858,1.96,32718,1.19,4538,13.87
0.861,1.86,29776,1.08,4469,15.01
0.864,1.76,29440,1.07,4398,14.94
0.867,1.71,29306,1.06,4354,14.86
0.87,1.65,28959,1.05,4301,14.85
0.874,1.57,25615,0.93,4228,16.51
0.877,1.5,25186,0.91,4145,16.46
0.88,1.43,21427,0.78,4074,19.01
0.883,1.29,21093,0.77,3986,18.9
0.886,1.17,20773,0.75,3907,18.81
0.89,1.1,20460,0.74,3823,18.69
0.893,1.02,19554,0.71,3750,19.18
0.896,0.97,19321,0.7,3671,19.0
0.899,0.94,18370,0.67,3607,19.64
0.902,0.91,17706,0.64,3550,20.05
0.906,0.86,17154,0.62,3478,20.28
0.909,0.84,16452,0.6,3425,20.82
0.912,0.85,16036,0.58,3359,20.95
0.915,0.82,15538,0.56,3278,21.1
0.918,0.77,14980,0.54,3194,21.32
0.922,0.65,14304,0.52,3071,21.47
0.925,0.6,13489,0.49,2988,22.15
0.928,0.57,13153,0.48,2899,22.04
0.931,0.48,12589,0.46,2781,22.09
0.934,0.47,12354,0.45,2692,21.79
0.938,0.39,11947,0.43,2493,20.87
0.941,0.35,11564,0.42,2403,20.78
0.944,0.34,11011,0.4,2284,20.74
0.947,0.42,10672,0.39,2149,20.14
0.95,0.39,10445,0.38,2082,19.93
0.954,0.39,10066,0.37,1930,19.17
0.957,0.34,9862,0.36,1825,18.51
0.96,0.32,9528,0.35,1722,18.07
0.964,0.36,8907,0.32,1572,17.65
0.969,0.39,7923,0.29,1473,18.59
0.973,0.41,7348,0.27,1399,19.04
0.978,0.41,6171,0.22,1328,21.52
0.982,0.33,5522,0.2,1246,22.56
0.987,0.17,4752,0.17,1140,23.99
0.991,0.59,4193,0.15,1016,24.23
0.996,1.76,2649,0.1,699,26.39
