seil,dist,nb_saud,%saud_/total,nb_saud_hcc,saud_hcc/saud
0.5,7.62,347779,12.62,4352,1.25
0.53,7.44,305010,11.07,4259,1.4
0.56,7.34,272934,9.91,4186,1.53
0.59,7.26,263283,9.56,4117,1.56
0.62,7.15,246956,8.96,4015,1.63
0.65,7.07,221079,8.02,3913,1.77
0.68,6.99,208031,7.55,3840,1.85
0.71,6.93,200865,7.29,3736,1.86
0.74,6.72,186190,6.76,3583,1.92
0.77,6.4,156541,5.68,3387,2.16
0.8,6.01,83539,3.03,3113,3.73
0.803,5.98,82406,2.99,3083,3.74
0.806,5.89,74623,2.71,3037,4.07
0.81,5.8,68813,2.5,2990,4.35
0.813,5.78,65280,2.37,2968,4.55
0.816,5.72,63871,2.32,2920,4.57
0.819,5.69,57430,2.08,2893,5.04
0.822,5.63,50380,1.83,2858,5.67
0.826,5.58,45958,1.67,2823,6.14
0.829,5.53,40798,1.48,2785,6.83
0.832,5.44,37711,1.37,2737,7.26
0.835,5.4,32867,1.19,2700,8.21
0.838,5.33,30466,1.11,2651,8.7
0.842,5.29,27666,1.0,2613,9.44
0.845,5.18,19314,0.7,2563,13.27
0.848,5.09,19184,0.7,2518,13.13
0.851,4.99,19034,0.69,2463,12.94
0.854,4.95,16010,0.58,2415,15.08
0.858,4.75,12302,0.45,2325,18.9
0.861,4.68,12192,0.44,2286,18.75
0.864,4.61,12116,0.44,2248,18.55
0.867,4.53,11904,0.43,2188,18.38
0.87,4.41,11765,0.43,2145,18.23
0.874,4.34,11624,0.42,2086,17.95
0.877,4.22,11327,0.41,2026,17.89
0.88,4.09,11046,0.4,1968,17.82
0.883,4.01,10863,0.39,1918,17.66
0.886,3.79,10558,0.38,1847,17.49
0.89,3.58,10037,0.36,1763,17.57
0.893,3.42,9604,0.35,1694,17.64
0.896,3.45,9402,0.34,1656,17.61
0.899,3.38,8939,0.32,1622,18.15
0.902,3.25,7997,0.29,1564,19.56
0.906,3.15,7411,0.27,1489,20.09
0.909,3.09,6682,0.24,1447,21.66
0.912,2.87,5885,0.21,1363,23.16
0.915,2.83,5311,0.19,1323,24.91
0.918,2.64,3936,0.14,1247,31.68
0.922,2.58,3080,0.11,1188,38.57
0.925,2.49,2794,0.1,1138,40.73
0.928,2.36,2530,0.09,1068,42.21
0.931,2.33,2257,0.08,1023,45.33
0.934,2.27,1918,0.07,969,50.52
0.938,2.08,1661,0.06,870,52.38
0.941,2.02,1574,0.06,827,52.54
0.944,1.98,1398,0.05,768,54.94
0.947,1.96,1240,0.05,708,57.1
0.95,1.9,1082,0.04,634,58.6
0.954,1.9,931,0.03,546,58.65
0.957,1.87,821,0.03,508,61.88
0.96,1.83,742,0.03,461,62.13
0.964,1.83,639,0.02,385,60.25
0.969,2.71,515,0.02,272,52.82
0.973,2.92,449,0.02,212,47.22
0.978,2.46,381,0.01,148,38.85
0.982,2.7,315,0.01,95,30.16
0.987,2.47,205,0.01,52,25.37
0.991,3.69,108,0.0,31,28.7
0.996,4.99,6,0.0,6,100.0
