seil,dist,nb_saud,%saud_/total,nb_saud_hcc,saud_hcc/saud
0.5,4.77,459124,16.66,7149,1.56
0.53,4.69,318560,11.56,7097,2.23
0.56,4.59,311128,11.29,7024,2.26
0.59,4.5,274559,9.96,6936,2.53
0.62,4.38,259128,9.4,6824,2.63
0.65,4.28,235090,8.53,6709,2.85
0.68,4.09,226716,8.23,6526,2.88
0.71,3.86,213480,7.75,6309,2.96
0.74,3.67,202171,7.34,6109,3.02
0.77,3.42,171354,6.22,5891,3.44
0.8,3.07,106773,3.88,5629,5.27
0.803,3.04,92602,3.36,5594,6.04
0.806,2.99,90404,3.28,5555,6.14
0.81,2.98,85424,3.1,5528,6.47
0.813,2.93,84594,3.07,5485,6.48
0.816,2.87,73877,2.68,5452,7.38
0.819,2.84,72970,2.65,5423,7.43
0.822,2.79,72802,2.64,5368,7.37
0.826,2.76,67416,2.45,5327,7.9
0.829,2.7,52245,1.9,5272,10.09
0.832,2.67,51537,1.87,5221,10.13
0.835,2.6,50903,1.85,5159,10.13
0.838,2.55,50606,1.84,5120,10.12
0.842,2.51,46822,1.7,5081,10.85
0.845,2.48,44222,1.6,5041,11.4
0.848,2.43,41694,1.51,4979,11.94
0.851,2.4,34547,1.25,4932,14.28
0.854,2.33,30742,1.12,4873,15.85
0.858,2.24,30413,1.1,4781,15.72
0.861,2.16,30290,1.1,4718,15.58
0.864,2.09,30043,1.09,4652,15.48
0.867,2.01,29745,1.08,4596,15.45
0.87,1.89,29362,1.07,4502,15.33
0.874,1.77,22753,0.83,4414,19.4
0.877,1.71,22366,0.81,4359,19.49
0.88,1.61,22131,0.8,4290,19.38
0.883,1.42,21687,0.79,4195,19.34
0.886,1.32,21411,0.78,4119,19.24
0.89,1.23,20885,0.76,4024,19.27
0.893,1.12,20389,0.74,3944,19.34
0.896,1.04,20013,0.73,3875,19.36
0.899,0.92,19070,0.69,3788,19.86
0.902,0.87,18391,0.67,3726,20.26
0.906,0.78,17481,0.63,3623,20.73
0.909,0.73,16631,0.6,3541,21.29
0.912,0.67,16116,0.58,3458,21.46
0.915,0.64,15777,0.57,3382,21.44
0.918,0.61,15293,0.56,3297,21.56
0.922,0.6,14341,0.52,3192,22.26
0.925,0.58,13693,0.5,3093,22.59
0.928,0.54,13379,0.49,2981,22.28
0.931,0.49,13033,0.47,2883,22.12
0.934,0.45,12393,0.45,2787,22.49
0.938,0.41,11913,0.43,2628,22.06
0.941,0.4,11600,0.42,2493,21.49
0.944,0.45,11190,0.41,2362,21.11
0.947,0.49,10978,0.4,2218,20.2
0.95,0.54,10732,0.39,2101,19.58
0.954,0.54,10314,0.37,1915,18.57
0.957,0.5,10069,0.37,1826,18.13
0.96,0.48,9763,0.35,1737,17.79
0.964,0.42,9301,0.34,1611,17.32
0.969,0.42,8470,0.31,1466,17.31
0.973,0.32,7496,0.27,1382,18.44
0.978,0.38,6123,0.22,1264,20.64
0.982,0.24,4933,0.18,1168,23.68
0.987,0.53,3910,0.14,1011,25.86
0.991,1.72,2780,0.1,825,29.68
0.996,2.66,2214,0.08,345,15.58
