seil,dist,nb_saud,%saud_/total,nb_saud_hcc,saud_hcc/saud
0.5,5.99,447332,16.24,5435,1.21
0.53,5.92,307534,11.16,5388,1.75
0.56,5.82,301322,10.94,5316,1.76
0.59,5.78,266057,9.66,5241,1.97
0.62,5.68,244658,8.88,5147,2.1
0.65,5.6,228186,8.28,5051,2.21
0.68,5.43,216677,7.86,4883,2.25
0.71,5.2,204428,7.42,4706,2.3
0.74,4.98,192776,7.0,4514,2.34
0.77,4.58,165517,6.01,4231,2.56
0.8,4.19,84140,3.05,3921,4.66
0.803,4.18,83395,3.03,3885,4.66
0.806,4.11,78894,2.86,3841,4.87
0.81,4.05,74727,2.71,3803,5.09
0.813,4.03,67201,2.44,3775,5.62
0.816,3.95,67069,2.43,3726,5.56
0.819,3.84,62678,2.27,3654,5.83
0.822,3.79,53606,1.95,3622,6.76
0.826,3.64,43497,1.58,3538,8.13
0.829,3.6,43212,1.57,3497,8.09
0.832,3.57,42316,1.54,3466,8.19
0.835,3.38,41624,1.51,3371,8.1
0.838,3.3,41317,1.5,3315,8.02
0.842,3.21,35730,1.3,3265,9.14
0.845,3.15,34926,1.27,3230,9.25
0.848,3.08,28191,1.02,3181,11.28
0.851,2.98,21488,0.78,3125,14.54
0.854,2.87,21359,0.78,3064,14.35
0.858,2.73,21145,0.77,2959,13.99
0.861,2.6,20899,0.76,2889,13.82
0.864,2.49,20748,0.75,2834,13.66
0.867,2.45,20346,0.74,2789,13.71
0.87,2.35,13882,0.5,2741,19.74
0.874,2.29,13585,0.49,2675,19.69
0.877,2.18,13332,0.48,2615,19.61
0.88,2.14,13168,0.48,2562,19.46
0.883,2.12,12806,0.46,2514,19.63
0.886,2.08,12654,0.46,2469,19.51
0.89,2.04,12036,0.44,2392,19.87
0.893,1.99,11581,0.42,2336,20.17
0.896,1.98,11124,0.4,2282,20.51
0.899,1.91,10810,0.39,2202,20.37
0.902,1.83,10193,0.37,2128,20.88
0.906,1.73,9069,0.33,2020,22.27
0.909,1.7,8113,0.29,1959,24.15
0.912,1.7,7759,0.28,1898,24.46
0.915,1.69,6918,0.25,1828,26.42
0.918,1.67,6171,0.22,1738,28.16
0.922,1.66,5450,0.2,1631,29.93
0.925,1.62,4445,0.16,1543,34.71
0.928,1.61,4246,0.15,1450,34.15
0.931,1.65,4021,0.15,1360,33.82
0.934,1.57,3790,0.14,1236,32.61
0.938,1.5,3384,0.12,1088,32.15
0.941,1.59,2853,0.1,971,34.03
0.944,1.69,2672,0.1,880,32.93
0.947,1.85,2507,0.09,757,30.2
0.95,2.06,2370,0.09,642,27.09
0.954,2.08,2124,0.08,499,23.49
0.957,2.26,1949,0.07,406,20.83
0.96,2.27,1792,0.07,334,18.64
0.964,2.17,1625,0.06,250,15.38
0.969,1.78,1448,0.05,138,9.53
0.973,2.63,1307,0.05,89,6.81
0.978,5.85,1039,0.04,43,4.14
0.982,8.76,876,0.03,18,2.05
0.987,13.84,578,0.02,12,2.08
0.991,6.51,93,0.0,3,3.23
0.996,6.51,5,0.0,3,60.0
