seil,dist,nb_saud,%saud_/total,nb_saud_hcc,saud_hcc/saud
0.5,5.14,340745,12.37,978,0.29
0.53,5.14,340744,12.37,978,0.29
0.56,5.14,340744,12.37,978,0.29
0.59,5.14,340744,12.37,978,0.29
0.62,5.14,340744,12.37,978,0.29
0.65,5.14,340744,12.37,978,0.29
0.68,5.14,340744,12.37,978,0.29
0.71,5.14,340744,12.37,978,0.29
0.74,5.14,340744,12.37,978,0.29
0.77,5.14,340744,12.37,978,0.29
0.8,5.58,56109,2.04,159,0.28
0.803,5.58,56109,2.04,159,0.28
0.806,5.58,56109,2.04,159,0.28
0.81,5.58,56109,2.04,159,0.28
0.813,5.58,56109,2.04,159,0.28
0.816,5.58,56109,2.04,159,0.28
0.819,5.58,56109,2.04,159,0.28
0.822,5.58,56109,2.04,159,0.28
0.826,5.58,56109,2.04,159,0.28
0.829,5.58,56109,2.04,159,0.28
0.832,5.58,56109,2.04,159,0.28
0.835,5.58,56109,2.04,159,0.28
0.838,5.58,56109,2.04,159,0.28
0.842,5.58,56109,2.04,159,0.28
0.845,5.58,56109,2.04,159,0.28
0.848,5.58,56109,2.04,159,0.28
0.851,5.58,56109,2.04,159,0.28
0.854,5.58,56109,2.04,159,0.28
0.858,5.58,56109,2.04,159,0.28
0.861,5.58,56109,2.04,159,0.28
0.864,5.58,56109,2.04,159,0.28
0.867,5.51,44616,1.62,133,0.3
0.87,5.51,44616,1.62,133,0.3
0.874,5.51,44616,1.62,133,0.3
0.877,5.51,44616,1.62,133,0.3
0.88,5.51,44616,1.62,133,0.3
0.883,5.51,44616,1.62,133,0.3
0.886,5.51,44616,1.62,133,0.3
0.89,5.51,44616,1.62,133,0.3
0.893,5.51,44616,1.62,133,0.3
0.896,5.51,44616,1.62,133,0.3
0.899,5.51,44616,1.62,133,0.3
0.902,5.51,44616,1.62,133,0.3
0.906,5.51,44616,1.62,133,0.3
0.909,5.51,44616,1.62,133,0.3
0.912,5.51,44616,1.62,133,0.3
0.915,5.51,44616,1.62,133,0.3
0.918,5.51,44616,1.62,133,0.3
0.922,5.51,44616,1.62,133,0.3
0.925,5.51,44616,1.62,133,0.3
0.928,5.51,44616,1.62,133,0.3
0.931,5.51,44616,1.62,133,0.3
0.934,5.51,44616,1.62,133,0.3
0.938,5.51,44616,1.62,133,0.3
0.941,5.51,44616,1.62,133,0.3
0.944,5.51,44616,1.62,133,0.3
0.947,5.51,44616,1.62,133,0.3
0.95,4.47,25283,0.92,68,0.27
0.954,4.83,10095,0.37,29,0.29
0.957,4.83,10095,0.37,29,0.29
0.96,4.83,10095,0.37,29,0.29
0.964,4.83,10095,0.37,29,0.29
0.969,4.83,10095,0.37,29,0.29
0.973,4.83,10095,0.37,29,0.29
0.978,4.83,10095,0.37,29,0.29
0.982,4.83,10095,0.37,29,0.29
0.987,5.49,8057,0.29,24,0.3
0.991,5.49,8057,0.29,24,0.3
