seil,dist,nb_saud,%saud_/total,nb_saud_hcc,saud_hcc/saud
0.0,5.22,2088658,75.81,7382,0.35
0.013,4.86,996468,36.17,7168,0.72
0.026,2.95,178636,6.48,5727,3.21
0.027,2.77,177219,6.43,5612,3.17
0.028,2.54,175659,6.38,5437,3.1
0.029,2.32,127563,4.63,5283,4.14
0.031,1.85,105158,3.82,4899,4.66
0.032,1.64,66034,2.4,4704,7.12
0.033,1.42,48381,1.76,4499,9.3
0.034,1.2,33419,1.21,4293,12.85
0.035,0.99,32565,1.18,4153,12.75
0.036,0.78,32172,1.17,3957,12.3
0.037,0.62,30051,1.09,3769,12.54
0.038,0.54,29823,1.08,3570,11.97
0.039,0.62,17545,0.64,3389,19.32
0.04,0.91,17251,0.63,3201,18.56
0.041,1.22,15528,0.56,3023,19.47
0.042,1.51,15361,0.56,2873,18.7
0.043,1.96,4744,0.17,2689,56.68
0.044,2.24,4465,0.16,2528,56.62
0.046,2.94,3818,0.14,2217,58.07
0.047,3.27,3655,0.13,2067,56.55
0.048,3.63,2690,0.1,1908,70.93
0.049,4.23,2513,0.09,1752,69.72
0.05,4.56,2386,0.09,1647,69.03
0.051,4.93,2252,0.08,1519,67.45
0.052,5.31,2143,0.08,1411,65.84
0.065,12.34,443,0.02,443,100.0
0.078,19.22,131,0.0,131,100.0
0.091,26.28,40,0.0,40,100.0
0.104,31.34,11,0.0,11,100.0
0.117,35.4,8,0.0,8,100.0
0.13,38.25,2,0.0,2,100.0
