seil,dist,nb_saud,%saud_/total,nb_saud_hcc,saud_hcc/saud
0.5,4.67,294754,10.7,7155,2.43
0.53,4.66,289447,10.51,7152,2.47
0.56,4.66,278193,10.1,7152,2.57
0.59,4.65,272355,9.88,7145,2.62
0.62,4.59,266687,9.68,7110,2.67
0.65,4.48,263983,9.58,7053,2.67
0.68,4.26,262534,9.53,6942,2.64
0.71,4.14,259442,9.42,6865,2.65
0.74,3.86,243750,8.85,6703,2.75
0.77,3.46,211675,7.68,6464,3.05
0.8,2.98,100474,3.65,6172,6.14
0.803,2.95,98258,3.57,6153,6.26
0.806,2.88,95945,3.48,6106,6.36
0.81,2.81,82322,2.99,6067,7.37
0.813,2.77,76936,2.79,6045,7.86
0.816,2.75,66891,2.43,6026,9.01
0.819,2.64,62752,2.28,5961,9.5
0.822,2.56,54083,1.96,5912,10.93
0.826,2.49,49747,1.81,5858,11.78
0.829,2.4,38374,1.39,5797,15.11
0.832,2.34,38264,1.39,5757,15.05
0.835,2.22,37985,1.38,5687,14.97
0.838,2.14,37759,1.37,5634,14.92
0.842,1.96,33020,1.2,5521,16.72
0.845,1.88,27724,1.01,5478,19.76
0.848,1.72,27361,0.99,5358,19.58
0.851,1.63,27120,0.98,5301,19.55
0.854,1.56,26941,0.98,5253,19.5
0.858,1.45,26384,0.96,5173,19.61
0.861,1.36,26037,0.94,5101,19.59
0.864,1.33,25633,0.93,5069,19.78
0.867,1.24,25232,0.92,4996,19.8
0.87,1.18,24925,0.9,4942,19.83
0.874,1.07,24584,0.89,4829,19.64
0.877,1.03,24212,0.88,4785,19.76
0.88,0.95,23448,0.85,4697,20.03
0.883,0.92,22855,0.83,4639,20.3
0.886,0.83,22210,0.81,4544,20.46
0.89,0.78,21820,0.79,4430,20.3
0.893,0.74,21542,0.78,4339,20.14
0.896,0.7,21079,0.77,4244,20.13
0.899,0.68,20718,0.75,4183,20.19
0.902,0.62,20283,0.74,4070,20.07
0.906,0.55,19653,0.71,3876,19.72
0.909,0.56,19233,0.7,3817,19.85
0.912,0.53,18888,0.69,3699,19.58
0.915,0.5,18428,0.67,3536,19.19
0.918,0.55,18016,0.65,3399,18.87
0.922,0.68,17520,0.64,3182,18.16
0.925,0.73,17196,0.62,3006,17.48
0.928,0.78,16637,0.6,2807,16.87
0.931,0.69,16308,0.59,2644,16.21
0.934,0.71,15514,0.56,2502,16.13
0.938,0.63,14287,0.52,2251,15.76
0.941,0.61,12975,0.47,2058,15.86
0.944,0.59,10754,0.39,1921,17.86
0.947,0.5,8346,0.3,1793,21.48
0.95,0.38,5264,0.19,1662,31.57
0.954,0.24,4310,0.16,1486,34.48
0.957,0.63,3934,0.14,1370,34.82
0.96,0.99,3268,0.12,1264,38.68
0.964,1.44,2997,0.11,1090,36.37
0.969,1.75,2541,0.09,887,34.91
0.973,1.76,2252,0.08,751,33.35
0.978,2.17,1384,0.05,576,41.62
0.982,2.68,704,0.03,442,62.78
0.987,3.74,114,0.0,114,100.0
0.991,4.48,39,0.0,39,100.0
